time,blue_cells,red_cells
6.79381,803,18
6.79499,804,18
6.79598,805,18
6.79653,806,18
6.79687,807,18
6.80003,808,18
6.80029,809,18
6.80046,810,18
6.80276,811,18
6.80316,812,18
6.80459,813,18
6.80667,814,18
6.80669,815,18
6.81229,816,18
6.81235,817,18
6.81405,818,18
6.81441,819,18
6.81465,820,18
6.81495,821,18
6.81743,822,18
6.81747,823,18
6.82071,824,18
6.82128,825,18
6.82288,826,18
6.8241,827,18
6.82412,828,18
6.82519,829,18
6.82595,830,18
6.82685,831,18
6.82775,832,18
6.83043,833,18
6.83097,834,18
6.83127,835,18
6.83279,836,18
6.83294,837,18
6.83304,838,18
6.8347,839,18
6.83496,840,18
6.83536,841,18
6.83553,842,18
6.83612,843,18
6.83705,844,18
6.83942,845,18
6.8406,846,18
6.84069,847,18
6.8408,848,18
6.84092,849,18
6.84247,850,18
6.84288,851,18
6.84394,851,19
6.8472,852,19
6.84729,853,19
6.84812,854,19
6.85345,855,19
6.85382,856,19
6.8539,857,19
6.85497,858,19
6.85533,859,19
6.85544,860,19
6.85693,861,19
6.85732,861,20
6.8588,862,20
6.85905,863,20
6.86069,864,20
6.86071,865,20
6.86114,866,20
6.8632,867,20
6.86334,868,20
6.86574,869,20
6.86663,870,20
6.86805,871,20
6.86976,872,20
6.86979,873,20
6.87018,874,20
6.87117,875,20
6.87159,876,20
6.87242,877,20
6.87258,878,20
6.87332,879,20
6.87354,880,20
6.87383,881,20
6.87429,882,20
6.87442,883,20
6.87478,884,20
6.87511,885,20
6.87528,886,20
6.87563,887,20
6.87652,888,20
6.87873,889,20
6.881,890,20
6.88109,891,20
6.88127,892,20
6.88472,893,20
6.88561,894,20
6.8862,895,20
6.8864,896,20
6.88845,897,20
6.88851,898,20
6.8894,899,20
6.89004,900,20
6.89017,901,20
6.89193,902,20
6.89372,903,20
6.89403,904,20
6.89455,905,20
6.89835,906,20
6.90054,907,20
6.90165,908,20
6.90199,909,20
6.90209,910,20
6.9025,911,20
6.90346,912,20
6.90495,913,20
6.90513,914,20
6.90529,915,20
6.90536,916,20
6.90574,917,20
6.90692,918,20
6.90764,919,20
6.90771,920,20
6.90971,921,20
6.91012,922,20
6.91354,923,20
6.91441,924,20
6.91446,925,20
6.91753,926,20
6.92008,927,20
6.92082,928,20
6.92109,929,20
6.92132,930,20
6.92175,931,20
6.92316,932,20
6.92386,933,20
6.92454,934,20
6.92491,935,20
6.92639,936,20
6.92717,937,20
6.92833,938,20
6.9285,939,20
6.92858,940,20
6.92986,941,20
6.93071,942,20
6.931,943,20
6.93179,944,20
6.93302,945,20
6.9351,946,20
6.93579,947,20
6.93662,948,20
6.93774,949,20
6.93831,950,20
6.9385,951,20
6.93972,952,20
6.93977,953,20
6.94096,954,20
6.94152,955,20
6.944,956,20
6.94558,957,20
6.94729,958,20
6.94777,959,20
6.94794,960,20
6.94936,961,20
6.94951,962,20
6.95068,963,20
6.95124,964,20
6.95137,965,20
6.95138,966,20
6.95196,967,20
6.95219,968,20
6.95244,969,20
6.95244,970,20
6.95388,971,20
6.95649,972,20
6.95812,973,20
6.96092,974,20
6.96099,975,20
6.96392,976,20
6.96423,977,20
6.9656,978,20
6.96636,979,20
6.96691,980,20
6.96933,981,20
6.97002,982,20
6.97017,983,20
6.97025,984,20
6.9709,985,20
6.97139,986,20
6.97185,987,20
6.9722,988,20
6.97465,989,20
6.97475,990,20
6.97561,991,20
6.97646,992,20
6.97659,993,20
6.97944,994,20
6.98076,995,20
6.98096,996,20
6.98237,997,20
6.98247,998,20
6.98288,999,20
6.98363,1000,20
6.98462,1000,21
6.98584,1001,21
6.9867,1002,21
6.98752,1003,21
6.98838,1003,22
6.98915,1004,22
6.98954,1005,22
6.9896,1006,22
6.98974,1006,23
6.99058,1007,23
6.99076,1008,23
6.99418,1009,23
6.99462,1010,23
6.99484,1011,23
6.99601,1012,23
6.99643,1013,23
6.99673,1014,23
6.99709,1015,23
6.99731,1016,23
6.99851,1017,23
6.999,1018,23
6.99916,1019,23
7.00076,1020,23
7.00406,1021,23
7.00486,1022,23
7.00491,1023,23
7.01076,1024,23
7.01144,1025,23
7.0126,1026,23
7.01298,1027,23
7.01375,1028,23
7.01578,1029,23
7.01794,1030,23
7.01912,1031,23
7.0198,1032,23
7.02164,1033,23
7.02202,1034,23
7.02367,1035,23
7.02377,1036,23
7.02504,1037,23
7.02677,1038,23
7.02755,1039,23
7.02884,1040,23
7.03058,1041,23
7.03202,1042,23
7.03392,1043,23
7.03483,1044,23
7.03497,1045,23
7.03577,1046,23
7.03711,1047,23
7.03905,1048,23
7.04204,1049,23
7.04448,1050,23
7.04562,1051,23
7.04696,1052,23
7.0509,1053,23
7.05157,1054,23
7.05167,1055,23
7.05407,1056,23
7.05479,1057,23
7.05586,1058,23
7.05592,1059,23
7.05816,1060,23
7.05904,1061,23
7.05906,1062,23
7.0592,1063,23
7.05989,1064,23
7.06072,1065,23
7.06186,1066,23
7.06368,1067,23
7.06373,1068,23
7.06406,1069,23
7.06812,1070,23
7.06909,1071,23
7.06926,1072,23
7.0694,1073,23
7.06961,1074,23
7.06964,1075,23
7.07087,1076,23
7.07171,1077,23
7.0718,1078,23
7.07245,1079,23
7.07348,1080,23
7.07352,1081,23
7.07426,1082,23
7.07468,1083,23
7.07556,1084,23
7.07781,1085,23
7.0784,1086,23
7.07842,1087,23
7.07882,1087,24
7.07947,1088,24
7.08068,1089,24
7.08123,1090,24
7.08236,1091,24
7.08554,1092,24
7.08627,1093,24
7.08676,1094,24
7.08696,1095,24
7.09083,1096,24
7.09376,1097,24
7.09448,1098,24
7.09455,1099,24
7.09475,1100,24
7.09568,1101,24
7.09587,1102,24
7.09724,1103,24
7.09913,1104,24
7.09975,1105,24
7.09985,1106,24
7.10254,1107,24
7.10288,1108,24
7.1054,1109,24
7.10551,1110,24
7.10661,1111,24
7.10768,1112,24
7.10835,1113,24
7.10935,1114,24
7.10986,1115,24
7.10987,1116,24
7.11012,1117,24
7.11311,1118,24
7.11516,1119,24
7.11556,1120,24
7.11571,1121,24
7.11691,1122,24
7.11692,1123,24
7.11833,1124,24
7.12092,1125,24
7.1219,1126,24
7.12194,1127,24
7.12274,1128,24
7.12295,1128,25
7.12445,1129,25
7.12627,1130,25
7.1263,1131,25
7.12727,1132,25
7.12801,1133,25
7.12835,1134,25
7.12836,1135,25
7.1311,1136,25
7.13144,1137,25
7.13178,1138,25
7.13289,1139,25
7.13316,1140,25
7.13372,1141,25
7.13424,1142,25
7.13435,1143,25
7.13519,1143,26
7.13546,1144,26
7.13682,1145,26
7.137,1145,27
7.13815,1146,27
7.13817,1147,27
7.1384,1148,27
7.13849,1149,27
7.13956,1150,27
7.14045,1151,27
7.1409,1152,27
7.14136,1153,27
7.14206,1154,27
7.14273,1155,27
7.14278,1156,27
7.14287,1156,28
7.1449,1157,28
7.1466,1158,28
7.14748,1159,28
7.14812,1160,28
7.14834,1161,28
7.14941,1162,28
7.15002,1163,28
7.15315,1164,28
7.15384,1165,28
7.15533,1166,28
7.15775,1167,28
7.15809,1168,28
7.15877,1169,28
7.16,1170,28
7.16029,1171,28
7.16105,1172,28
7.1618,1173,28
7.16207,1174,28
7.16481,1175,28
7.16574,1176,28
7.16648,1177,28
7.16722,1178,28
7.16763,1179,28
7.16769,1180,28
7.16775,1181,28
7.168,1182,28
7.16878,1183,28
7.16935,1184,28
7.17001,1185,28
7.17283,1186,28
7.17338,1187,28
7.17367,1188,28
7.17382,1189,28
7.17442,1190,28
7.17462,1191,28
7.17466,1192,28
7.17502,1193,28
7.17536,1194,28
7.17557,1195,28
7.17582,1196,28
7.17584,1197,28
7.17597,1198,28
7.17624,1199,28
7.17642,1200,28
7.17711,1201,28
7.17775,1202,28
7.17779,1203,28
7.17791,1204,28
7.1798,1205,28
7.18048,1206,28
7.18187,1207,28
7.18406,1208,28
7.18412,1209,28
7.18414,1210,28
7.18522,1211,28
7.18625,1212,28
7.18628,1213,28
7.18661,1214,28
7.18686,1215,28
7.18693,1216,28
7.188,1217,28
7.18815,1218,28
7.18886,1219,28
7.18942,1220,28
7.19036,1221,28
7.19078,1222,28
7.19138,1223,28
7.19145,1224,28
7.19174,1225,28
7.19282,1226,28
7.19554,1227,28
7.19595,1228,28
7.19609,1229,28
7.19813,1230,28
7.19889,1231,28
7.19923,1232,28
7.19987,1233,28
7.2,1234,28
7.20037,1235,28
7.20101,1236,28
7.20274,1237,28
7.20354,1238,28
7.20405,1239,28
7.2062,1240,28
7.20624,1241,28
7.2072,1242,28
7.20807,1243,28
7.20825,1244,28
7.20914,1245,28
7.20927,1246,28
7.20937,1247,28
7.21044,1248,28
7.21054,1249,28
7.21055,1250,28
7.21083,1251,28
7.21084,1252,28
7.21088,1253,28
7.21146,1254,28
7.21148,1255,28
7.21194,1256,28
7.21396,1257,28
7.21399,1258,28
7.21593,1259,28
7.21935,1260,28
7.21939,1261,28
7.21963,1262,28
7.21967,1263,28
7.22074,1264,28
7.22086,1265,28
7.22478,1266,28
7.22559,1267,28
7.22652,1268,28
7.22697,1269,28
7.22775,1270,28
7.22989,1271,28
7.23301,1272,28
7.23464,1273,28
7.23472,1274,28
7.23534,1275,28
7.23674,1276,28
7.23741,1277,28
7.23748,1278,28
7.238,1279,28
7.23808,1280,28
7.23872,1281,28
7.23914,1282,28
7.24272,1283,28
7.24278,1284,28
7.24289,1285,28
7.24311,1286,28
7.24402,1287,28
7.24417,1288,28
7.24441,1289,28
7.24469,1290,28
7.24489,1291,28
7.24547,1292,28
7.24706,1293,28
7.24842,1294,28
7.24842,1295,28
7.2489,1296,28
7.2508,1297,28
7.25298,1298,28
7.25377,1299,28
7.25497,1300,28
7.25595,1301,28
7.25713,1302,28
7.25721,1302,29
7.25845,1303,29
7.25973,1304,29
7.25981,1305,29
7.25994,1306,29
7.26036,1307,29
7.26067,1308,29
7.26191,1309,29
7.26202,1310,29
7.26228,1311,29
7.26331,1312,29
7.26425,1313,29
7.26517,1314,29
7.26533,1315,29
7.26563,1315,30
7.26596,1316,30
7.26681,1317,30
7.26718,1318,30
7.26765,1319,30
7.26773,1320,30
7.26795,1321,30
7.26861,1322,30
7.26881,1323,30
7.26935,1324,30
7.26938,1325,30
